0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Tarifa Ofertas Semana 09,,Válida del 01 de Marzo al 06 de Marzo del 2021,,,,,I.V.A. no Incluido,0.1,0.15,0.2,,
Código,Sección,Producto,€/Kg. o €/Unidad,+ 5 kgs. o piezas (aplicado 10% dto.),+ 10 kgs. o piezas (aplicado 15% dto.),+ 25 kgs. o piezas (aplicado 20% dto.),Tipo I.V.A. aplicable,Origen,Origen,Origen,Origen,Su Pedido,
,,¡¡¡Productos Recomendados!!!,,,,,,,,,,,
1022.96,Productos Recomendados,Aguacate Hass BIO. Finca con certificado ecológico CAAE desde 1985 + certificado BIO Suisse desde 2009,3.69,3.3209999999999997,3.1365,2.952,0.04,Málaga,,,,,
1344,,Patata Elodie BIO (nueva cosecha 2021),1.39,1.251,1.1815,1.1119999999999999,0.04,Málaga,,,,,
6160,,"Aceituna negra (PULPA EN PASTA O PATÉ) BIO deshidratada en crudo, sin semilla, sin pasteurizar, sin sal… ideal como base para elaborar patés… (env. cristal 115 grs.)",2.39,PRECIO POR ENVASE DE CRISTAL DE  115 grs.,,,0.1,Málaga,,,,,
5179,,Aceituna negra deshidratada natural sin sal cosecha 2020 (producción propia) env. 500 grs. Finca orgánica sin certificado. RAW,5.89,Precio por envase de 500 grs.,,,0.04,Granada,,,,,
1520,,Aguacate Pinkerton BIO,4.69,4.221,3.9865000000000004,-,0.04,Granada,,,,,
6186,,"Naranja dulce variedad grano de oro BIO. Finca con más de 20 años en ecológico, regada con agua de manantial (principìo de temporada) ¡¡¡Fruta única!!!",1.49,1.341,1.2665,1.192,0.04,Granada,,,,,
5134,,Chirimoya ECONÓMICA  local  DE MUY BUENA CALIDAD ESTA SENANA (EN BUEN ESTADO) en caja de 4-5 kgs. (pedido mínimo 1 caja)¡¡Oferta!!,1.49,Precio por kilo en caja de 4-5 kgs. +/- (PEDIDO MÍNIMO DE UNA CAJA),,,0.04,Granada,,,,,
1619,,Guayaba BIO (producción propia). F.E. (fruta de la estación). Disponibilidad segura,3.69,3.3209999999999997,3.1365,2.952,0.04,Granada,,,,,
1119,,Higo de miel semi-seco de la Alpujarra BIO (grande) prensado env. 700 grs. cristal ¡¡¡Excelente y especial!!! F.E. (fruta de la estación),4.89,Precio por bote de cristal de 700 grs.,,,0.04,Granada,,,,,
6154,Productos Recomendados,Limquat BIO,3.19,2.871,2.7115,-,0.04,Granada,,,,,
1208,,"Naranja Navelina mesa BIO (PED.MIN. 400 KGS.) mediana/grande recolectada con hoja según pedido. Finca regada con agua de manantial. Fruta de temporada ¡¡¡Excelente calidad, dulce y jugosa!!! ¡¡¡Súper oferta!!!",0.64,Precio para un pedido mínimo de 400 kgs.,,,0.04,Granada,,,,,
1586,,Papaya Siluet BIO (madurada en planta),3.69,3.3209999999999997,3.1365,2.952,0.04,Málaga,,,,,
1024,,Pomelo Red Ruby BIO,1.98,1.782,1.683,-,0.04,Málaga,,,,,
3890,,Tomate Raff asurcado negro local de Miguel. Cultivo controlado residuo cero ¡¡¡Sabor excelente!!!,2.29,2.061,1.9465000000000001,1.832,0.04,Granada,,,,,
1117,,Apio verde BIO (producción propia),2.59,2.331,2.2015,-,0.04,Granada,,,,,
1015,,Boniato BIO recién cosechado (mediano),1.98,1.782,1.683,1.584,0.04,Granada,,,,,
1002,,Calabacín verde BIO,1.29,1.161,1.0965,1.032,0.04,Málaga,,,,,
3662,,Maracuyá morado local,8.59,7.731,7.3015,-,0.04,Granada,,,,,
6161,,Mandarina Murcott BIO (peso aprox. 60 grs. por unidad),1.79,1.611,1.5215,1.432,0.04,Málaga,,,,,
1062,,Puerro BIO (producción propia)¡¡Excelente!!,2.59,2.331,2.2015,-,0.04,Granada,,,,,
1858,,Lechuga Lollo rojo BIO (producción propia) ¡¡¡Excelente!!!,0.98,Precio por pieza,,,0.04,Granada,,,,,
1071,Productos Recomendados,Lechuga maravilla de verano BIO (producción propia) ¡¡¡Excelente!!!,0.98,PRECIO POR 2 PIEZAS,,,0.04,Granada,,,,,
1129,,Lechuga verde hoja larga y lisa tipo Romana BIO (producción propia) ¡¡¡Excelente!!! Piezas grandes,0.89,Precio por pieza (grande),,,0.04,Granada,,,,,
5048,,"Yacón fresco de Asturias (Smallanthus Sonchifolius). Piezas grandes con muy buena presencia, cultivo orgánico de confianza sin certificado ¡¡¡Único en Europa!!! ¡¡¡Calidad extra!!!",4.29,3.8609999999999998,-,-,0.04,Asturias,,,,,
,,Novedades,,,,,,,,,,,
6018,,Dátil Deglet Nour en rama de Israel BIO,8.69,7.821,-,-,0.04,Israel,,,,,
1679,,Remolacha sin hojas BIO,1.89,1.7009999999999998,-,-,0.04,Málaga,,,,,
3029,,Mandarina Fortuna local,1.69,1.521,1.4364999999999999,-,0.04,Granada,,,,,
6186,,"Naranja dulce variedad grano de oro BIO. Finca con más de 20 años en ecológico, regada con agua de manantial (principìo de temporada) ¡¡¡Fruta única!!!",1.49,1.341,1.2665,1.192,0.04,Granada,,,,,
3026,,Aguacate Californiano local,4.59,4.131,3.9015,-,0.04,Granada,,,,,
5198,Novedades,Aguacate Californiano local (ligeros defectos superficiales en la piel),3.79,3.411,3.2215,3.032,0.04,Granada,,,,,
3142,,Calabaza Butternut local,1.19,1.071,1.0114999999999998,-,0.04,Granada,,,,,
1263,,Mandarina Clemenules BIO (solo 8 kgs. en stock),1.49,-,-,-,0.04,Granada,,,,,
